energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Si.s.up,Si.s.dn,Si.p.up,Si.p.dn,Si.d.up,Si.d.dn,Li.t2g.up,Li.t2g.dn,Li.e_g.up,Li.e_g.dn,Mn.t2g.up,Mn.t2g.dn,Mn.e_g.up,Mn.e_g.dn,Si.t2g.up,Si.t2g.dn,Si.e_g.up,Si.e_g.dn
 -1.6272,2.576e+00,8.851e-01,5.260e-02,1.430e-02,2.850e-02,9.190e-02,4.708e-01,6.892e-01,4.700e-03,3.470e-02,3.090e-02,2.137e-01,0.000e+00,0.000e+00,3.380e-02,3.800e-03,4.970e-02,4.316e-01,4.300e-03,5.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.582e-01,1.297e-01,3.126e-01,5.595e-01,3.000e-04,4.500e-03,4.000e-03,1.400e-03
 -1.5878,3.678e+00,7.963e-01,4.590e-02,1.250e-02,2.890e-02,1.067e-01,4.016e-01,1.112e+00,4.700e-03,2.990e-02,2.990e-02,2.986e-01,0.000e+00,0.000e+00,3.020e-02,3.500e-03,5.050e-02,6.075e-01,3.500e-03,6.500e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.463e-01,1.777e-01,2.553e-01,9.344e-01,2.000e-04,4.900e-03,3.300e-03,1.600e-03
 -1.5483,2.898e+00,7.454e-01,4.190e-02,9.500e-03,2.920e-02,8.180e-02,3.628e-01,8.930e-01,4.900e-03,2.360e-02,2.910e-02,2.343e-01,0.000e+00,0.000e+00,2.820e-02,3.200e-03,5.080e-02,4.724e-01,3.300e-03,6.000e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.372e-01,1.715e-01,2.256e-01,7.215e-01,2.000e-04,4.500e-03,3.100e-03,1.500e-03
 -1.5089,2.298e+00,6.985e-01,3.940e-02,8.200e-03,2.880e-02,7.220e-02,3.302e-01,6.794e-01,5.000e-03,2.020e-02,2.760e-02,1.912e-01,0.000e+00,0.000e+00,2.630e-02,3.000e-03,4.990e-02,3.760e-01,3.000e-03,5.500e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.312e-01,1.491e-01,1.990e-01,5.303e-01,2.000e-04,4.100e-03,2.800e-03,1.400e-03
 -1.4694,1.880e+00,6.945e-01,3.820e-02,6.200e-03,3.020e-02,6.120e-02,3.204e-01,5.516e-01,5.400e-03,1.670e-02,2.780e-02,1.582e-01,0.000e+00,0.000e+00,2.600e-02,2.700e-03,5.170e-02,3.064e-01,3.000e-03,5.200e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.305e-01,1.346e-01,1.899e-01,4.170e-01,2.000e-04,3.800e-03,2.800e-03,1.400e-03
 -1.4300,1.620e+00,6.757e-01,3.700e-02,5.000e-03,3.050e-02,5.320e-02,3.033e-01,4.773e-01,5.600e-03,1.450e-02,2.760e-02,1.369e-01,0.000e+00,0.000e+00,2.530e-02,2.500e-03,5.220e-02,2.624e-01,2.900e-03,4.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.273e-01,1.266e-01,1.760e-01,3.507e-01,2.000e-04,3.600e-03,2.700e-03,1.300e-03
 -1.3906,1.447e+00,6.579e-01,3.500e-02,4.300e-03,3.140e-02,4.710e-02,2.863e-01,4.315e-01,6.200e-03,1.250e-02,2.720e-02,1.224e-01,0.000e+00,0.000e+00,2.420e-02,2.400e-03,5.350e-02,2.326e-01,2.800e-03,4.800e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.237e-01,1.207e-01,1.626e-01,3.108e-01,2.000e-04,3.500e-03,2.600e-03,1.300e-03
 -1.3511,1.248e+00,7.323e-01,3.390e-02,3.700e-03,3.980e-02,3.660e-02,3.005e-01,3.945e-01,9.400e-03,1.060e-02,3.110e-02,1.024e-01,0.000e+00,0.000e+00,2.440e-02,2.200e-03,6.610e-02,1.952e-01,3.100e-03,4.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.294e-01,1.164e-01,1.711e-01,2.781e-01,4.000e-04,3.300e-03,2.700e-03,1.300e-03
 -1.3117,1.105e+00,8.156e-01,3.290e-02,3.000e-03,5.110e-02,3.160e-02,2.947e-01,3.575e-01,9.400e-03,8.300e-03,4.290e-02,9.150e-02,0.000e+00,0.000e+00,2.370e-02,2.000e-03,8.560e-02,1.700e-01,3.300e-03,4.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.298e-01,1.159e-01,1.649e-01,2.416e-01,5.000e-04,3.300e-03,2.800e-03,1.300e-03
 -1.2722,9.547e-01,7.769e-01,3.060e-02,2.600e-03,5.010e-02,2.590e-02,2.731e-01,3.192e-01,9.700e-03,6.700e-03,4.090e-02,7.810e-02,0.000e+00,0.000e+00,2.210e-02,1.800e-03,8.380e-02,1.440e-01,3.200e-03,4.300e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.234e-01,1.073e-01,1.497e-01,2.119e-01,5.000e-04,3.000e-03,2.700e-03,1.300e-03
 -1.2328,8.619e-01,7.477e-01,2.940e-02,2.300e-03,4.870e-02,2.190e-02,2.605e-01,2.973e-01,9.600e-03,6.000e-03,3.930e-02,6.920e-02,0.000e+00,0.000e+00,2.140e-02,1.700e-03,8.120e-02,1.278e-01,3.100e-03,3.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.185e-01,1.012e-01,1.420e-01,1.961e-01,5.000e-04,2.800e-03,2.600e-03,1.100e-03
 -1.1934,7.889e-01,7.488e-01,2.880e-02,2.000e-03,4.960e-02,1.920e-02,2.573e-01,2.781e-01,9.900e-03,5.500e-03,3.930e-02,6.270e-02,0.000e+00,0.000e+00,2.120e-02,1.500e-03,8.250e-02,1.152e-01,3.100e-03,3.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.181e-01,9.720e-02,1.392e-01,1.809e-01,5.000e-04,2.800e-03,2.600e-03,1.100e-03
 -1.1539,7.317e-01,7.500e-01,2.820e-02,1.600e-03,5.050e-02,1.800e-02,2.538e-01,2.611e-01,1.020e-02,5.000e-03,3.950e-02,5.880e-02,0.000e+00,0.000e+00,2.110e-02,1.400e-03,8.390e-02,1.054e-01,3.200e-03,3.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.167e-01,9.900e-02,1.371e-01,1.621e-01,5.000e-04,2.700e-03,2.700e-03,1.000e-03
 -1.1145,6.587e-01,7.338e-01,2.700e-02,1.300e-03,5.010e-02,1.570e-02,2.450e-01,2.395e-01,1.030e-02,4.500e-03,3.890e-02,5.290e-02,0.000e+00,0.000e+00,2.070e-02,1.200e-03,8.310e-02,9.300e-02,3.200e-03,3.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.104e-01,9.600e-02,1.346e-01,1.435e-01,5.000e-04,2.700e-03,2.700e-03,1.000e-03
 -1.0750,5.927e-01,7.283e-01,2.620e-02,1.200e-03,5.040e-02,1.380e-02,2.400e-01,2.196e-01,1.040e-02,4.000e-03,3.880e-02,4.750e-02,0.000e+00,0.000e+00,2.050e-02,1.100e-03,8.340e-02,8.210e-02,3.200e-03,3.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.063e-01,9.150e-02,1.337e-01,1.281e-01,5.000e-04,2.600e-03,2.700e-03,1.000e-03
 -1.0356,5.336e-01,7.258e-01,2.530e-02,1.100e-03,5.100e-02,1.130e-02,2.362e-01,2.062e-01,1.060e-02,3.000e-03,3.910e-02,4.210e-02,0.000e+00,0.000e+00,2.020e-02,1.000e-03,8.420e-02,7.190e-02,3.400e-03,3.300e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.032e-01,8.520e-02,1.330e-01,1.210e-01,6.000e-04,2.300e-03,2.800e-03,1.000e-03
 -0.9961,4.922e-01,7.258e-01,2.460e-02,1.000e-03,5.170e-02,9.700e-03,2.328e-01,1.954e-01,1.070e-02,2.500e-03,3.950e-02,3.850e-02,0.000e+00,0.000e+00,1.990e-02,1.000e-03,8.520e-02,6.500e-02,3.500e-03,3.200e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.009e-01,8.190e-02,1.319e-01,1.135e-01,7.000e-04,2.300e-03,2.800e-03,9.000e-04
 -0.9567,4.567e-01,7.260e-01,2.370e-02,9.000e-04,5.280e-02,8.900e-03,2.290e-01,1.840e-01,1.080e-02,2.300e-03,4.010e-02,3.580e-02,0.000e+00,0.000e+00,1.940e-02,9.000e-04,8.680e-02,5.920e-02,3.500e-03,3.200e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.890e-02,8.030e-02,1.301e-01,1.037e-01,7.000e-04,2.300e-03,2.800e-03,9.000e-04
 -0.9173,4.217e-01,7.142e-01,2.240e-02,7.000e-04,5.290e-02,8.100e-03,2.210e-01,1.723e-01,1.070e-02,2.100e-03,4.010e-02,3.330e-02,0.000e+00,0.000e+00,1.870e-02,8.000e-04,8.680e-02,5.340e-02,3.500e-03,3.000e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.470e-02,7.960e-02,1.263e-01,9.270e-02,7.000e-04,2.100e-03,2.800e-03,9.000e-04
 -0.8778,3.819e-01,7.063e-01,2.170e-02,7.000e-04,5.280e-02,7.200e-03,2.151e-01,1.585e-01,1.070e-02,1.900e-03,4.000e-02,3.040e-02,0.000e+00,0.000e+00,1.840e-02,8.000e-04,8.690e-02,4.720e-02,3.500e-03,2.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.150e-02,7.710e-02,1.236e-01,8.140e-02,7.000e-04,2.100e-03,2.800e-03,8.000e-04
 -0.8384,3.470e-01,7.058e-01,2.110e-02,6.000e-04,5.340e-02,6.400e-03,2.115e-01,1.463e-01,1.080e-02,1.700e-03,4.040e-02,2.770e-02,0.000e+00,0.000e+00,1.830e-02,7.000e-04,8.810e-02,4.180e-02,3.700e-03,2.800e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.000e-02,7.330e-02,1.215e-01,7.300e-02,8.000e-04,2.000e-03,2.900e-03,8.000e-04
 -0.7989,3.199e-01,7.045e-01,2.060e-02,5.000e-04,5.410e-02,5.700e-03,2.068e-01,1.376e-01,1.080e-02,1.500e-03,4.100e-02,2.530e-02,0.000e+00,0.000e+00,1.810e-02,6.000e-04,8.940e-02,3.770e-02,3.700e-03,2.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.780e-02,6.940e-02,1.190e-01,6.820e-02,8.000e-04,2.000e-03,2.900e-03,7.000e-04
 -0.7595,2.899e-01,7.072e-01,2.010e-02,5.000e-04,5.490e-02,4.600e-03,2.035e-01,1.292e-01,1.080e-02,1.200e-03,4.170e-02,2.270e-02,0.000e+00,0.000e+00,1.790e-02,5.000e-04,9.130e-02,3.290e-02,3.700e-03,2.400e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.640e-02,6.520e-02,1.171e-01,6.400e-02,8.000e-04,1.700e-03,2.900e-03,7.000e-04
 -0.7201,2.656e-01,6.897e-01,1.910e-02,4.000e-04,5.390e-02,3.800e-03,1.973e-01,1.231e-01,1.070e-02,9.000e-04,4.070e-02,2.060e-02,0.000e+00,0.000e+00,1.730e-02,5.000e-04,8.960e-02,2.870e-02,3.700e-03,2.400e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.190e-02,6.300e-02,1.154e-01,6.010e-02,8.000e-04,1.700e-03,2.900e-03,7.000e-04
 -0.6806,2.436e-01,6.788e-01,1.860e-02,3.000e-04,5.330e-02,3.400e-03,1.930e-01,1.149e-01,1.070e-02,8.000e-04,4.010e-02,1.920e-02,0.000e+00,0.000e+00,1.710e-02,4.000e-04,8.860e-02,2.540e-02,3.700e-03,2.300e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.860e-02,6.180e-02,1.144e-01,5.310e-02,8.000e-04,1.600e-03,2.900e-03,7.000e-04
 -0.6412,2.228e-01,6.739e-01,1.820e-02,3.000e-04,5.320e-02,3.000e-03,1.905e-01,1.069e-01,1.070e-02,7.000e-04,3.990e-02,1.790e-02,0.000e+00,0.000e+00,1.690e-02,3.000e-04,8.830e-02,2.230e-02,3.800e-03,2.200e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.650e-02,6.020e-02,1.140e-01,4.670e-02,8.000e-04,1.600e-03,3.000e-03,6.000e-04
 -0.6017,2.001e-01,6.756e-01,1.790e-02,2.000e-04,5.350e-02,2.600e-03,1.891e-01,9.770e-02,1.080e-02,6.000e-04,4.020e-02,1.640e-02,0.000e+00,0.000e+00,1.680e-02,3.000e-04,8.930e-02,1.900e-02,3.800e-03,2.200e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.550e-02,5.800e-02,1.136e-01,3.970e-02,8.000e-04,1.600e-03,3.000e-03,6.000e-04
 -0.5623,1.813e-01,6.811e-01,1.760e-02,2.000e-04,5.450e-02,2.300e-03,1.886e-01,9.030e-02,1.080e-02,5.000e-04,4.080e-02,1.480e-02,0.000e+00,0.000e+00,1.670e-02,2.000e-04,9.100e-02,1.660e-02,3.800e-03,1.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.540e-02,5.410e-02,1.132e-01,3.620e-02,8.000e-04,1.400e-03,3.000e-03,5.000e-04
 -0.5228,1.635e-01,6.776e-01,1.670e-02,2.000e-04,5.470e-02,1.900e-03,1.859e-01,8.320e-02,1.080e-02,4.000e-04,4.090e-02,1.320e-02,0.000e+00,0.000e+00,1.610e-02,2.000e-04,9.150e-02,1.440e-02,4.100e-03,1.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.370e-02,5.020e-02,1.122e-01,3.300e-02,1.000e-03,1.300e-03,3.100e-03,4.000e-04
 -0.4834,1.480e-01,6.719e-01,1.600e-02,1.000e-04,5.460e-02,1.500e-03,1.822e-01,7.720e-02,1.070e-02,4.000e-04,4.100e-02,1.220e-02,0.000e+00,0.000e+00,1.570e-02,2.000e-04,9.160e-02,1.230e-02,4.100e-03,1.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.140e-02,4.760e-02,1.108e-01,2.960e-02,1.000e-03,1.300e-03,3.100e-03,4.000e-04
 -0.4440,1.425e-01,6.666e-01,1.550e-02,1.000e-04,5.460e-02,1.200e-03,1.789e-01,7.800e-02,1.060e-02,2.000e-04,4.100e-02,1.190e-02,0.000e+00,0.000e+00,1.550e-02,1.000e-04,9.170e-02,1.020e-02,4.100e-03,1.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.930e-02,5.190e-02,1.096e-01,2.610e-02,1.000e-03,1.300e-03,3.100e-03,4.000e-04
 -0.4045,1.261e-01,6.607e-01,1.510e-02,1.000e-04,5.430e-02,1.000e-03,1.753e-01,7.040e-02,1.040e-02,3.000e-04,4.120e-02,1.070e-02,0.000e+00,0.000e+00,1.520e-02,1.000e-04,9.180e-02,8.200e-03,4.100e-03,1.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.710e-02,4.990e-02,1.082e-01,2.050e-02,1.000e-03,1.300e-03,3.100e-03,3.000e-04
 -0.3651,1.442e-01,6.553e-01,1.470e-02,2.000e-04,5.410e-02,1.000e-03,1.716e-01,8.420e-02,1.020e-02,2.400e-03,4.130e-02,1.000e-02,0.000e+00,0.000e+00,1.500e-02,1.000e-04,9.190e-02,6.800e-03,4.300e-03,1.900e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.500e-02,6.860e-02,1.066e-01,1.560e-02,1.100e-03,1.700e-03,3.200e-03,2.000e-04
 -0.3256,1.845e-01,6.595e-01,1.410e-02,3.000e-04,5.500e-02,9.000e-04,1.698e-01,1.124e-01,1.010e-02,5.100e-03,4.210e-02,1.010e-02,0.000e+00,0.000e+00,1.470e-02,1.000e-04,9.400e-02,5.700e-03,4.200e-03,2.800e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.460e-02,1.009e-01,1.052e-01,1.150e-02,1.100e-03,2.600e-03,3.100e-03,2.000e-04
 -0.2862,2.328e-01,6.416e-01,1.330e-02,4.000e-04,5.380e-02,1.100e-03,1.639e-01,1.453e-01,1.000e-02,7.900e-03,4.110e-02,1.070e-02,0.000e+00,0.000e+00,1.410e-02,2.000e-04,9.210e-02,5.100e-03,4.200e-03,3.700e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.070e-02,1.366e-01,1.032e-01,8.700e-03,1.100e-03,3.500e-03,3.100e-03,2.000e-04
 -0.2468,2.859e-01,6.341e-01,1.280e-02,7.000e-04,5.320e-02,1.300e-03,1.603e-01,1.813e-01,9.800e-03,9.500e-03,4.090e-02,1.300e-02,0.000e+00,0.000e+00,1.390e-02,3.000e-04,9.180e-02,4.800e-03,4.300e-03,4.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.860e-02,1.760e-01,1.017e-01,5.300e-03,1.100e-03,4.400e-03,3.200e-03,2.000e-04
 -0.2073,2.986e-01,6.294e-01,1.240e-02,1.100e-03,5.310e-02,1.400e-03,1.574e-01,1.912e-01,9.700e-03,1.060e-02,4.080e-02,1.170e-02,0.000e+00,0.000e+00,1.360e-02,4.000e-04,9.210e-02,4.000e-03,4.400e-03,4.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.710e-02,1.894e-01,1.003e-01,1.800e-03,1.200e-03,4.500e-03,3.200e-03,1.000e-04
