     1  0.00000000E+00    0.00000000E+00    0.00000000E+00    0.40866300E-03    0.40866465E-03    0.40867427E-03    0.77843214E-03    0.77843354E-03    0.77844175E-03   
     2  0.72030792E-05    0.72030792E-05    0.21392984E-04    0.40867801E-03    0.40867801E-03    0.41082913E-03    0.77833737E-03    0.77843724E-03    0.77843724E-03   
     3  0.14389161E-04    0.14389161E-04    0.42713748E-04    0.40870563E-03    0.40870563E-03    0.41723500E-03    0.77805218E-03    0.77843854E-03    0.77843854E-03   
     4  0.21541456E-04    0.21541456E-04    0.63892447E-04    0.40874999E-03    0.40874999E-03    0.42763192E-03    0.77758828E-03    0.77844199E-03    0.77844199E-03   
     5  0.28643575E-04    0.28643575E-04    0.84863265E-04    0.40880866E-03    0.40880866E-03    0.44163933E-03    0.77696391E-03    0.77844949E-03    0.77844949E-03   
     6  0.35679723E-04    0.35679723E-04    0.10556501E-03    0.40887835E-03    0.40887835E-03    0.45878889E-03    0.77620714E-03    0.77846358E-03    0.77846358E-03   
     7  0.42634872E-04    0.42634872E-04    0.12594070E-03    0.40895507E-03    0.40895507E-03    0.47856519E-03    0.77535899E-03    0.77848734E-03    0.77848734E-03   
     8  0.49494915E-04    0.49494915E-04    0.14593666E-03    0.40903423E-03    0.40903423E-03    0.50043626E-03    0.77447852E-03    0.77852428E-03    0.77852428E-03   
     9  0.56246800E-04    0.56246800E-04    0.16550134E-03    0.40911087E-03    0.40911087E-03    0.52386966E-03    0.77365127E-03    0.77857815E-03    0.77857815E-03   
    10  0.62878636E-04    0.62878636E-04    0.18458438E-03    0.40917985E-03    0.40917985E-03    0.54833257E-03    0.77300309E-03    0.77865286E-03    0.77865286E-03   
    11  0.69379773E-04    0.69379773E-04    0.20313592E-03    0.40923606E-03    0.40923606E-03    0.57327437E-03    0.77272354E-03    0.77875221E-03    0.77875221E-03   
    12  0.75740852E-04    0.75740852E-04    0.22110611E-03    0.40927463E-03    0.40927463E-03    0.59808861E-03    0.77310444E-03    0.77887979E-03    0.77887979E-03   
    13  0.81953831E-04    0.81953831E-04    0.23844487E-03    0.40929120E-03    0.40929120E-03    0.62205055E-03    0.77459994E-03    0.77903878E-03    0.77903878E-03   
    14  0.88011974E-04    0.88011974E-04    0.25510177E-03    0.40928208E-03    0.40928208E-03    0.64424006E-03    0.77789989E-03    0.77923178E-03    0.77923178E-03   
    15  0.93909827E-04    0.93909827E-04    0.27102590E-03    0.40924449E-03    0.40924449E-03    0.66352102E-03    0.77946071E-03    0.77946071E-03    0.78394615E-03   
    16  0.99643158E-04    0.99643158E-04    0.28616586E-03    0.40917673E-03    0.40917673E-03    0.67876730E-03    0.77972663E-03    0.77972663E-03    0.79370270E-03   
    17  0.10520888E-03    0.10520888E-03    0.30046969E-03    0.40907831E-03    0.40907831E-03    0.68943188E-03    0.78002970E-03    0.78002970E-03    0.80758287E-03   
    18  0.11060497E-03    0.11060497E-03    0.31388484E-03    0.40895004E-03    0.40895004E-03    0.69593576E-03    0.78036911E-03    0.78036911E-03    0.82505734E-03   
    19  0.11583036E-03    0.11583036E-03    0.32635828E-03    0.40879410E-03    0.40879410E-03    0.69931235E-03    0.78074302E-03    0.78074302E-03    0.84500712E-03   
    20  0.12088480E-03    0.12088480E-03    0.33783664E-03    0.40861404E-03    0.40861404E-03    0.70060186E-03    0.78114864E-03    0.78114864E-03    0.86632680E-03   
