energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Si.s.up,Si.s.dn,Si.p.up,Si.p.dn,Si.d.up,Si.d.dn,Li.t2g.up,Li.t2g.dn,Li.e_g.up,Li.e_g.dn,Mn.t2g.up,Mn.t2g.dn,Mn.e_g.up,Mn.e_g.dn,Si.t2g.up,Si.t2g.dn,Si.e_g.up,Si.e_g.dn
+20.1260,8.133e-01,7.520e-01,1.170e-02,1.520e-02,3.310e-02,4.320e-02,9.270e-02,6.950e-02,1.060e-02,1.110e-02,2.780e-02,3.240e-02,0.000e+00,0.000e+00,4.600e-03,6.900e-03,2.830e-02,2.970e-02,1.030e-01,1.014e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.200e-02,3.890e-02,4.070e-02,3.060e-02,6.090e-02,5.920e-02,4.210e-02,4.220e-02
+20.1639,7.696e-01,7.763e-01,1.200e-02,1.390e-02,3.350e-02,3.980e-02,9.750e-02,6.850e-02,1.100e-02,1.050e-02,2.840e-02,2.980e-02,0.000e+00,0.000e+00,4.500e-03,6.300e-03,2.910e-02,2.880e-02,1.082e-01,9.920e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.550e-02,3.850e-02,4.200e-02,3.000e-02,6.330e-02,5.630e-02,4.490e-02,4.290e-02
+20.2018,7.421e-01,7.750e-01,1.200e-02,1.280e-02,3.340e-02,3.840e-02,9.990e-02,6.740e-02,1.090e-02,1.020e-02,2.770e-02,2.800e-02,0.000e+00,0.000e+00,4.300e-03,5.900e-03,2.890e-02,2.840e-02,1.096e-01,9.820e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.780e-02,3.790e-02,4.210e-02,2.950e-02,6.340e-02,5.460e-02,4.620e-02,4.360e-02
+20.2397,7.024e-01,7.744e-01,1.190e-02,1.190e-02,3.370e-02,3.640e-02,1.025e-01,6.460e-02,1.080e-02,9.900e-03,2.630e-02,2.630e-02,0.000e+00,0.000e+00,4.100e-03,5.600e-03,2.800e-02,2.780e-02,1.116e-01,9.440e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.010e-02,3.600e-02,4.240e-02,2.860e-02,6.300e-02,5.280e-02,4.860e-02,4.160e-02
+20.2776,6.741e-01,8.143e-01,1.230e-02,1.130e-02,3.390e-02,3.490e-02,1.116e-01,6.320e-02,1.350e-02,9.500e-03,2.720e-02,2.460e-02,0.000e+00,0.000e+00,4.300e-03,5.200e-03,3.170e-02,2.710e-02,1.221e-01,9.200e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.850e-02,3.490e-02,4.310e-02,2.830e-02,7.800e-02,5.100e-02,4.410e-02,4.100e-02
+20.3155,6.480e-01,7.858e-01,1.220e-02,1.090e-02,3.320e-02,3.330e-02,1.083e-01,6.300e-02,1.350e-02,9.000e-03,2.580e-02,2.260e-02,0.000e+00,0.000e+00,4.300e-03,4.700e-03,3.120e-02,2.620e-02,1.159e-01,8.970e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.620e-02,3.440e-02,4.210e-02,2.860e-02,7.850e-02,4.910e-02,3.740e-02,4.060e-02
+20.3534,6.292e-01,7.576e-01,1.210e-02,1.070e-02,3.270e-02,3.160e-02,1.052e-01,6.320e-02,1.340e-02,8.700e-03,2.440e-02,2.120e-02,0.000e+00,0.000e+00,4.400e-03,4.300e-03,3.060e-02,2.510e-02,1.091e-01,8.800e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.410e-02,3.440e-02,4.110e-02,2.880e-02,7.840e-02,4.870e-02,3.070e-02,3.930e-02
+20.3913,6.251e-01,7.298e-01,1.220e-02,1.080e-02,3.230e-02,3.060e-02,1.019e-01,6.470e-02,1.340e-02,8.500e-03,2.310e-02,2.050e-02,0.000e+00,0.000e+00,4.400e-03,4.000e-03,3.010e-02,2.460e-02,1.022e-01,8.790e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.170e-02,3.510e-02,4.020e-02,2.960e-02,7.810e-02,4.910e-02,2.410e-02,3.880e-02
+20.4292,6.292e-01,7.438e-01,1.260e-02,1.100e-02,3.310e-02,3.050e-02,1.039e-01,6.670e-02,1.360e-02,8.500e-03,2.330e-02,2.000e-02,0.000e+00,0.000e+00,4.500e-03,3.800e-03,3.010e-02,2.470e-02,1.041e-01,8.890e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.350e-02,3.630e-02,4.040e-02,3.040e-02,8.030e-02,5.020e-02,2.380e-02,3.870e-02
+20.4671,6.549e-01,7.443e-01,1.290e-02,1.140e-02,3.310e-02,3.140e-02,1.029e-01,7.100e-02,1.360e-02,8.600e-03,2.330e-02,2.010e-02,0.000e+00,0.000e+00,4.500e-03,3.800e-03,2.950e-02,2.510e-02,1.031e-01,9.430e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.320e-02,3.930e-02,3.970e-02,3.170e-02,7.940e-02,5.220e-02,2.370e-02,4.210e-02
+20.5050,7.371e-01,7.633e-01,1.330e-02,1.210e-02,3.400e-02,3.290e-02,1.054e-01,8.830e-02,1.390e-02,1.510e-02,2.370e-02,2.180e-02,0.000e+00,0.000e+00,4.600e-03,4.300e-03,2.960e-02,2.840e-02,1.053e-01,1.111e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.510e-02,5.530e-02,4.030e-02,3.300e-02,8.100e-02,7.170e-02,2.430e-02,3.940e-02
+20.5429,7.253e-01,7.847e-01,1.380e-02,1.220e-02,3.490e-02,3.290e-02,1.081e-01,8.790e-02,1.430e-02,1.530e-02,2.420e-02,2.140e-02,0.000e+00,0.000e+00,4.800e-03,4.300e-03,3.000e-02,2.850e-02,1.074e-01,1.068e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.720e-02,5.490e-02,4.090e-02,3.300e-02,8.270e-02,7.260e-02,2.470e-02,3.420e-02
+20.5808,6.974e-01,8.115e-01,1.420e-02,1.230e-02,3.610e-02,3.240e-02,1.111e-01,8.510e-02,1.480e-02,1.470e-02,2.490e-02,2.030e-02,0.000e+00,0.000e+00,5.000e-03,4.300e-03,3.050e-02,2.790e-02,1.106e-01,9.890e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.950e-02,5.260e-02,4.160e-02,3.250e-02,8.520e-02,7.130e-02,2.540e-02,2.760e-02
