energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,P.s.up,P.s.dn,P.p.up,P.p.dn,P.d.up,P.d.dn,Li.t2g.up,Li.t2g.dn,Li.e_g.up,Li.e_g.dn,Mn.t2g.up,Mn.t2g.dn,Mn.e_g.up,Mn.e_g.dn,P.t2g.up,P.t2g.dn,P.e_g.up,P.e_g.dn
 -1.8299,0.000e+00,5.708e+00,5.200e-02,0.000e+00,1.241e-01,0.000e+00,4.181e+00,0.000e+00,2.330e-02,0.000e+00,8.810e-02,0.000e+00,0.000e+00,0.000e+00,1.130e-02,0.000e+00,2.929e-01,0.000e+00,1.023e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.749e-01,0.000e+00,6.530e-01,0.000e+00,1.560e-02,0.000e+00,4.270e-02,0.000e+00
 -1.8047,0.000e+00,5.741e+00,4.860e-02,0.000e+00,1.303e-01,0.000e+00,4.189e+00,0.000e+00,2.020e-02,0.000e+00,9.150e-02,0.000e+00,0.000e+00,0.000e+00,1.040e-02,0.000e+00,3.026e-01,0.000e+00,1.008e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.356e-01,0.000e+00,6.742e-01,0.000e+00,1.760e-02,0.000e+00,3.710e-02,0.000e+00
 -1.7794,0.000e+00,5.824e+00,4.400e-02,0.000e+00,1.410e-01,0.000e+00,4.216e+00,0.000e+00,1.610e-02,0.000e+00,9.760e-02,0.000e+00,0.000e+00,0.000e+00,8.700e-03,0.000e+00,3.237e-01,0.000e+00,9.770e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.827e-01,0.000e+00,7.352e-01,0.000e+00,2.070e-02,0.000e+00,2.840e-02,0.000e+00
 -1.7542,8.132e-01,4.556e+00,3.440e-02,1.290e-02,1.029e-01,2.410e-02,3.368e+00,3.104e-01,1.180e-02,2.300e-02,7.210e-02,1.230e-02,0.000e+00,0.000e+00,7.400e-03,1.900e-03,2.301e-01,1.417e-01,7.730e-02,1.330e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.583e-01,2.490e-02,5.302e-01,5.390e-02,1.480e-02,6.000e-04,2.420e-02,2.800e-03
 -1.7289,3.570e+00,4.015e+00,2.900e-02,5.770e-02,8.930e-02,1.165e-01,2.992e+00,1.376e+00,9.000e-03,9.970e-02,6.290e-02,5.340e-02,0.000e+00,0.000e+00,6.400e-03,8.500e-03,1.949e-01,6.117e-01,6.930e-02,5.770e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.349e-01,1.144e-01,4.629e-01,2.411e-01,1.300e-02,3.100e-03,2.190e-02,1.250e-02
 -1.7036,5.455e+00,3.794e+00,2.450e-02,8.520e-02,8.140e-02,1.882e-01,2.867e+00,2.163e+00,6.900e-03,1.449e-01,5.750e-02,8.310e-02,0.000e+00,0.000e+00,6.100e-03,1.310e-02,1.722e-01,9.097e-01,6.970e-02,8.760e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.280e-01,1.844e-01,4.493e-01,3.912e-01,1.250e-02,5.400e-03,2.160e-02,1.830e-02
 -1.6784,8.687e+00,7.049e+00,9.630e-02,1.161e-01,2.482e-01,3.079e-01,4.686e+00,4.002e+00,4.020e-02,1.647e-01,1.318e-01,1.355e-01,0.000e+00,0.000e+00,7.700e-03,2.090e-02,4.935e-01,1.246e+00,1.225e-01,1.382e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.124e-01,3.094e-01,6.759e-01,8.250e-01,2.380e-02,1.320e-02,3.140e-02,2.020e-02
 -1.6531,1.131e+01,3.967e+00,3.690e-02,1.656e-01,1.111e-01,4.073e-01,2.782e+00,6.160e+00,1.280e-02,1.590e-01,7.110e-02,1.333e-01,0.000e+00,0.000e+00,5.100e-03,2.200e-02,2.442e-01,1.219e+00,7.080e-02,1.920e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.993e-01,3.733e-01,3.857e-01,1.519e+00,1.190e-02,2.450e-02,1.980e-02,2.490e-02
 -1.6279,5.695e+00,3.614e+00,3.500e-02,8.900e-02,1.023e-01,2.331e-01,2.411e+00,2.784e+00,1.230e-02,9.390e-02,7.240e-02,8.640e-02,0.000e+00,0.000e+00,4.800e-03,1.260e-02,2.686e-01,7.321e-01,6.190e-02,9.170e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.466e-01,1.999e-01,2.733e-01,6.218e-01,1.000e-02,1.180e-02,1.710e-02,1.370e-02
 -1.6026,1.887e+00,3.565e+00,3.630e-02,3.460e-02,1.058e-01,7.720e-02,2.288e+00,7.280e-01,1.270e-02,4.050e-02,7.680e-02,4.180e-02,0.000e+00,0.000e+00,4.700e-03,4.500e-03,2.938e-01,3.188e-01,5.930e-02,2.940e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.694e-01,6.480e-02,2.241e-01,1.100e-01,9.100e-03,3.400e-03,1.590e-02,6.400e-03
