ikpt,labels,b0.up,b1.up,b2.up,b3.up,b4.up,b5.up,b6.up,b7.up,b8.up,b9.up,b10.up,b11.up,b12.up,b13.up,b14.up,b15.up,b16.up,b17.up,b18.up,b19.up,b20.up,b21.up,b22.up,b23.up,b0.dn,b1.dn,b2.dn,b3.dn,b4.dn,b5.dn,b6.dn,b7.dn,b8.dn,b9.dn,b10.dn,b11.dn,b12.dn,b13.dn,b14.dn,b15.dn,b16.dn,b17.dn,b18.dn,b19.dn,b20.dn,b21.dn,b22.dn,b23.dn
10,,-8.211e+00,-3.276e+00,-3.254e+00,-3.254e+00,-2.845e+00,-2.832e+00,1.898e+00,1.995e+00,1.995e+00,3.314e+00,3.688e+00,3.908e+00,3.908e+00,7.828e+00,8.924e+00,9.036e+00,9.036e+00,9.526e+00,1.016e+01,1.373e+01,1.888e+01,1.888e+01,1.957e+01,2.018e+01,-8.206e+00,-1.008e+00,-9.470e-01,-9.470e-01,7.667e-01,8.164e-01,3.031e+00,3.031e+00,3.065e+00,3.727e+00,4.276e+00,4.451e+00,4.451e+00,8.446e+00,9.352e+00,9.712e+00,9.712e+00,1.033e+01,1.084e+01,1.410e+01,1.913e+01,1.913e+01,1.978e+01,2.055e+01
11,,-8.112e+00,-3.321e+00,-3.233e+00,-3.233e+00,-2.871e+00,-2.822e+00,1.331e+00,1.508e+00,1.508e+00,3.452e+00,4.013e+00,4.474e+00,4.474e+00,6.957e+00,9.012e+00,9.331e+00,9.331e+00,9.840e+00,1.118e+01,1.414e+01,1.766e+01,1.766e+01,1.897e+01,1.968e+01,-8.114e+00,-1.207e+00,-9.785e-01,-9.785e-01,6.575e-01,8.407e-01,2.673e+00,2.673e+00,2.847e+00,3.933e+00,4.446e+00,4.920e+00,4.920e+00,7.630e+00,9.408e+00,1.002e+01,1.002e+01,1.073e+01,1.162e+01,1.459e+01,1.793e+01,1.793e+01,1.927e+01,2.001e+01
12,,-7.951e+00,-3.391e+00,-3.198e+00,-3.198e+00,-2.906e+00,-2.806e+00,7.407e-01,9.918e-01,9.918e-01,3.419e+00,4.182e+00,5.126e+00,5.126e+00,6.625e+00,9.159e+00,9.816e+00,9.816e+00,1.033e+01,1.189e+01,1.493e+01,1.642e+01,1.642e+01,1.835e+01,1.845e+01,-7.965e+00,-1.494e+00,-1.024e+00,-1.024e+00,5.116e-01,8.783e-01,2.305e+00,2.305e+00,2.607e+00,4.013e+00,4.598e+00,5.483e+00,5.483e+00,7.257e+00,9.501e+00,1.052e+01,1.052e+01,1.119e+01,1.219e+01,1.546e+01,1.670e+01,1.670e+01,1.868e+01,1.882e+01
13,,-7.736e+00,-3.481e+00,-3.147e+00,-3.147e+00,-2.940e+00,-2.787e+00,1.413e-01,5.021e-01,5.021e-01,3.323e+00,3.932e+00,5.817e+00,5.817e+00,6.995e+00,9.361e+00,1.048e+01,1.048e+01,1.097e+01,1.228e+01,1.522e+01,1.522e+01,1.578e+01,1.730e+01,1.815e+01,-7.768e+00,-1.827e+00,-1.077e+00,-1.077e+00,3.590e-01,9.247e-01,1.966e+00,1.966e+00,2.292e+00,3.992e+00,4.579e+00,6.106e+00,6.106e+00,7.476e+00,9.629e+00,1.119e+01,1.119e+01,1.179e+01,1.252e+01,1.550e+01,1.550e+01,1.628e+01,1.772e+01,1.852e+01
14,,-7.480e+00,-3.583e+00,-3.083e+00,-3.083e+00,-2.960e+00,-2.767e+00,-4.642e-01,6.139e-02,6.139e-02,3.114e+00,3.642e+00,6.537e+00,6.537e+00,7.736e+00,9.613e+00,1.129e+01,1.129e+01,1.175e+01,1.247e+01,1.408e+01,1.408e+01,1.592e+01,1.627e+01,1.896e+01,-7.534e+00,-2.174e+00,-1.128e+00,-1.128e+00,2.214e-01,9.748e-01,1.672e+00,1.672e+00,1.889e+00,3.899e+00,4.527e+00,6.785e+00,6.785e+00,8.098e+00,9.787e+00,1.199e+01,1.199e+01,1.247e+01,1.274e+01,1.437e+01,1.437e+01,1.633e+01,1.676e+01,1.936e+01
15,,-7.205e+00,-3.687e+00,-3.009e+00,-3.009e+00,-2.952e+00,-2.748e+00,-1.057e+00,-3.144e-01,-3.144e-01,2.819e+00,3.507e+00,7.289e+00,7.289e+00,8.598e+00,9.902e+00,1.208e+01,1.208e+01,1.249e+01,1.267e+01,1.317e+01,1.317e+01,1.537e+01,1.561e+01,2.014e+01,-7.286e+00,-2.505e+00,-1.173e+00,-1.173e+00,1.133e-01,1.022e+00,1.433e+00,1.433e+00,1.455e+00,3.803e+00,4.513e+00,7.517e+00,7.517e+00,8.893e+00,9.964e+00,1.265e+01,1.265e+01,1.269e+01,1.340e+01,1.357e+01,1.357e+01,1.594e+01,1.600e+01,2.023e+01
16,,-6.945e+00,-3.782e+00,-2.935e+00,-2.935e+00,-2.900e+00,-2.732e+00,-1.600e+00,-6.085e-01,-6.085e-01,2.574e+00,3.447e+00,8.080e+00,8.080e+00,9.455e+00,1.020e+01,1.167e+01,1.167e+01,1.247e+01,1.354e+01,1.365e+01,1.365e+01,1.463e+01,1.530e+01,1.919e+01,-7.055e+00,-2.791e+00,-1.206e+00,-1.206e+00,4.259e-02,1.061e+00,1.075e+00,1.257e+00,1.257e+00,3.740e+00,4.515e+00,8.300e+00,8.300e+00,9.716e+00,1.014e+01,1.199e+01,1.199e+01,1.264e+01,1.422e+01,1.428e+01,1.428e+01,1.530e+01,1.571e+01,1.972e+01
17,,-6.752e+00,-3.853e+00,-2.877e+00,-2.877e+00,-2.797e+00,-2.722e+00,-2.035e+00,-7.999e-01,-7.999e-01,2.424e+00,3.418e+00,8.915e+00,8.915e+00,1.017e+01,1.044e+01,1.074e+01,1.074e+01,1.230e+01,1.412e+01,1.430e+01,1.484e+01,1.484e+01,1.517e+01,1.767e+01,-6.885e+00,-2.993e+00,-1.227e+00,-1.227e+00,9.191e-03,8.146e-01,1.087e+00,1.148e+00,1.148e+00,3.707e+00,4.520e+00,9.123e+00,9.123e+00,1.027e+01,1.042e+01,1.105e+01,1.105e+01,1.246e+01,1.488e+01,1.490e+01,1.546e+01,1.546e+01,1.561e+01,1.821e+01
18,X,-6.680e+00,-3.880e+00,-2.855e+00,-2.855e+00,-2.718e+00,-2.710e+00,-2.241e+00,-8.670e-01,-8.670e-01,2.375e+00,3.409e+00,9.711e+00,9.711e+00,9.896e+00,9.896e+00,1.050e+01,1.054e+01,1.217e+01,1.393e+01,1.458e+01,1.522e+01,1.599e+01,1.599e+01,1.642e+01,-6.822e+00,-3.066e+00,-1.233e+00,-1.233e+00,1.391e-03,7.212e-01,1.096e+00,1.112e+00,1.112e+00,3.697e+00,4.521e+00,9.781e+00,9.781e+00,1.032e+01,1.034e+01,1.034e+01,1.075e+01,1.233e+01,1.474e+01,1.512e+01,1.569e+01,1.668e+01,1.668e+01,1.689e+01

