energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Sb.s.up,Sb.s.dn,Sb.p.up,Sb.p.dn,Sb.d.up,Sb.d.dn
 +3.9552,8.414e-01,1.295e+00,6.040e-02,3.230e-02,5.560e-02,2.760e-02,4.190e-02,7.480e-02,8.740e-02,4.430e-02,1.131e-01,7.360e-02,0.000e+00,0.000e+00,7.540e-02,8.570e-02,1.099e-01,8.950e-02,1.162e-01,5.220e-02
 +3.9744,8.670e-01,1.234e+00,5.700e-02,3.470e-02,5.260e-02,2.790e-02,4.030e-02,7.550e-02,8.350e-02,4.660e-02,1.086e-01,7.610e-02,0.000e+00,0.000e+00,7.310e-02,8.960e-02,1.020e-01,9.030e-02,1.111e-01,5.420e-02
 +3.9935,8.923e-01,1.157e+00,5.390e-02,3.770e-02,4.930e-02,2.800e-02,3.770e-02,7.620e-02,7.880e-02,4.920e-02,1.025e-01,7.840e-02,0.000e+00,0.000e+00,7.030e-02,9.260e-02,9.200e-02,9.140e-02,1.048e-01,5.660e-02
 +4.0126,9.140e-01,1.093e+00,5.130e-02,4.100e-02,4.660e-02,2.760e-02,3.600e-02,7.600e-02,7.530e-02,5.160e-02,9.730e-02,8.000e-02,0.000e+00,0.000e+00,6.750e-02,9.520e-02,8.320e-02,9.200e-02,1.000e-01,5.870e-02
 +4.0317,9.459e-01,1.037e+00,4.810e-02,4.470e-02,4.450e-02,2.760e-02,3.470e-02,7.710e-02,7.210e-02,5.430e-02,9.290e-02,8.270e-02,0.000e+00,0.000e+00,6.340e-02,9.780e-02,7.500e-02,9.410e-02,9.640e-02,6.160e-02
 +4.0508,9.714e-01,9.733e-01,4.420e-02,4.760e-02,4.250e-02,2.780e-02,3.370e-02,7.810e-02,6.860e-02,5.570e-02,8.730e-02,8.520e-02,0.000e+00,0.000e+00,5.770e-02,9.910e-02,6.520e-02,9.640e-02,9.280e-02,6.430e-02
 +4.0699,9.858e-01,9.268e-01,4.090e-02,5.030e-02,4.110e-02,2.730e-02,3.280e-02,7.740e-02,6.550e-02,5.650e-02,8.400e-02,8.680e-02,0.000e+00,0.000e+00,5.300e-02,9.790e-02,5.880e-02,9.840e-02,9.000e-02,6.630e-02
 +4.0891,1.060e+00,8.930e-01,3.780e-02,5.740e-02,3.990e-02,2.780e-02,3.230e-02,7.990e-02,6.350e-02,6.150e-02,8.180e-02,9.310e-02,0.000e+00,0.000e+00,4.900e-02,1.039e-01,5.410e-02,1.054e-01,8.820e-02,7.270e-02
 +4.1082,1.113e+00,8.765e-01,3.520e-02,6.210e-02,3.940e-02,2.860e-02,3.210e-02,8.210e-02,6.230e-02,6.450e-02,8.140e-02,9.830e-02,0.000e+00,0.000e+00,4.630e-02,1.073e-01,5.120e-02,1.113e-01,8.780e-02,7.750e-02
 +4.1273,1.129e+00,8.666e-01,3.340e-02,6.400e-02,3.940e-02,2.890e-02,3.220e-02,8.290e-02,6.160e-02,6.420e-02,8.100e-02,1.007e-01,0.000e+00,0.000e+00,4.390e-02,1.057e-01,4.990e-02,1.134e-01,8.780e-02,7.940e-02
 +4.1464,1.136e+00,8.618e-01,3.220e-02,6.480e-02,3.960e-02,2.910e-02,3.260e-02,8.330e-02,6.120e-02,6.290e-02,8.080e-02,1.026e-01,0.000e+00,0.000e+00,4.120e-02,1.040e-01,4.990e-02,1.153e-01,8.820e-02,8.050e-02
 +4.1655,1.125e+00,8.752e-01,3.120e-02,6.410e-02,4.050e-02,2.930e-02,3.340e-02,8.340e-02,6.150e-02,6.030e-02,8.270e-02,1.027e-01,0.000e+00,0.000e+00,4.010e-02,1.005e-01,5.100e-02,1.166e-01,9.010e-02,7.970e-02
 +4.1847,1.165e+00,9.072e-01,3.060e-02,6.550e-02,4.220e-02,3.110e-02,3.440e-02,8.730e-02,6.250e-02,6.000e-02,8.700e-02,1.085e-01,0.000e+00,0.000e+00,4.060e-02,1.014e-01,5.310e-02,1.211e-01,9.380e-02,8.350e-02
 +4.2038,1.291e+00,9.524e-01,3.040e-02,6.860e-02,4.440e-02,3.560e-02,3.580e-02,9.590e-02,6.390e-02,6.350e-02,9.320e-02,1.257e-01,0.000e+00,0.000e+00,4.250e-02,1.092e-01,5.630e-02,1.297e-01,9.880e-02,9.490e-02
